Name,Category,Request Priority,Request Type,Location,User Group,Start Date,End Date,Total Number of Requests,Total Similar Requests
Bed Frame,Furniture,High,Replacement,Block 21,Admin Staff,2023-02-18,2023-02-27,56,38
Valve,Plumbing,Medium,Repair,Block 4,Other Servers,2022-03-22,2022-04-02,24,22
Window Lock,Windows,Medium,Replacement,Block 32,Student,2023-01-02,2023-01-13,42,25
Toilet seat,Plumbing,Medium,Replacement,Block 19,Other Servers,2020-10-19,2020-10-31,32,17
Bed Frame,Furniture,High,Replacement,Block 10,Admin Staff,2019-05-17,2019-05-25,62,36
Bed Chipwood,Furniture,Medium,Repair,Block 1,Teacher,2020-11-01,2020-11-11,62,45
Battery,Computers,Low,Repair,Block 16,Admin Staff,2020-01-01,2020-01-08,61,38
Door Handle,Doors,High,Repair,Block 6,Admin Staff,2020-06-23,2020-06-26,16,14
Florescent Light bulb,Lighting,High,Repair,Block 7,Student,2020-09-17,2020-09-22,72,56
Door Handle,Doors,Medium,Replacement,Block 33,Teacher,2022-06-17,2022-06-25,28,16
Locker Handle,Furniture,Medium,Replacement,Block 16,Student,2019-01-10,2019-01-21,64,36
Door Cylinder,Doors,Medium,Repair,Block 29,Teacher,2021-12-14,2021-12-20,23,17
Door Cylinder,Doors,High,Repair,Block 33,Admin Staff,2021-05-13,2021-05-18,19,16
Door Handle,Doors,High,Replacement,Block 27,Teacher,2022-05-09,2022-05-15,26,24
Locker Handle,Furniture,High,Repair,Block 21,Teacher,2022-12-13,2022-12-17,61,34
Door Cylinder,Doors,Medium,Repair,Block 4,Student,2019-01-12,2019-01-21,21,15
Window Lock,Windows,Low,Replacement,Block 41,Student,2023-03-03,2023-03-18,45,33
Door Cylinder,Doors,Low,Repair,Block 1,Admin Staff,2023-05-27,2023-06-05,20,19
Door Handle,Doors,Medium,Replacement,Block 10,Admin Staff,2020-10-29,2020-11-05,11,8
Fuse,Electrical,Low,Replacement,Block 45,Student,2022-08-17,2022-08-29,98,56
Florescent Light bulb,Lighting,Medium,Repair,Block 9,Admin Staff,2019-04-26,2019-04-28,67,61
Valve,Plumbing,Medium,Replacement,Block 44,Other Servers,2022-07-06,2022-07-20,37,26
Bed Frame,Furniture,High,Repair,Block 32,Admin Staff,2022-01-20,2022-01-26,58,46
CPU,Computers,Low,Repair,Block 5,Admin Staff,2022-06-16,2022-06-24,72,39
Door Cylinder,Doors,Medium,Replacement,Block 40,Admin Staff,2021-08-26,2021-09-04,26,24
Toilet seat,Plumbing,High,Repair,Block 7,Other Servers,2023-06-13,2023-06-20,36,19
Fuse,Electrical,Low,Repair,Block 21,Teacher,2021-04-13,2021-04-18,93,72
Bed Frame,Furniture,High,Repair,Block 20,Admin Staff,2023-04-25,2023-05-01,69,54
Socket,Electrical,Medium,Repair,Block 27,Admin Staff,2020-07-05,2020-07-09,94,86
Toilet seat,Plumbing,Medium,Replacement,Block 18,Other Servers,2019-03-24,2019-04-04,38,38
Monitor,Computers,High,Replacement,Block 7,Admin Staff,2019-07-11,2019-07-17,57,51
Battery,Computers,Medium,Repair,Block 12,Teacher,2022-08-27,2022-08-31,67,45
Florescent Light bulb,Lighting,Low,Replacement,Block 32,Student,2021-12-03,2021-12-12,72,54
Door Handle,Doors,High,Replacement,Block 36,Student,2019-06-25,2019-07-04,20,19
Socket,Electrical,Low,Repair,Block 44,Teacher,2020-07-03,2020-07-10,85,79
Window Glass,Windows,Medium,Replacement,Block 4,Student,2023-06-03,2023-06-16,56,55
Keyboard,Computers,Medium,Replacement,Block 47,Admin Staff,2021-08-06,2021-08-13,56,37
Florescent Light bulb,Lighting,High,Replacement,Block 47,Admin Staff,2022-08-10,2022-08-14,67,40
Florescent Light bulb,Lighting,High,Replacement,Block 28,Teacher,2022-12-04,2022-12-08,57,55
Locker Handle,Furniture,Low,Replacement,Block 50,Teacher,2021-05-14,2021-05-28,60,49
Window Lock,Windows,Low,Repair,Block 17,Admin Staff,2020-08-21,2020-08-27,46,46
Window Lock,Windows,High,Replacement,Block 4,Teacher,2021-02-20,2021-02-27,54,38
Florescent Light bulb,Lighting,Medium,Repair,Block 15,Teacher,2021-03-25,2021-03-27,63,44
Shower Head,Plumbing,Low,Repair,Block 47,Other Servers,2021-05-22,2021-06-02,29,16
Window Glass,Windows,Medium,Repair,Block 11,Student,2023-01-11,2023-01-20,52,27
RAM,Computers,Medium,Repair,Block 42,Teacher,2022-07-02,2022-07-06,72,38
Socket,Electrical,High,Repair,Block 14,Admin Staff,2020-12-26,2020-12-28,81,66
Socket,Electrical,Low,Replacement,Block 19,Teacher,2023-05-28,2023-06-04,99,54
Locker Handle,Furniture,Medium,Replacement,Block 42,Teacher,2023-03-05,2023-03-14,69,53
Hard drive,Computers,Medium,Replacement,Block 18,Teacher,2022-11-11,2022-11-19,72,49
Door Handle,Doors,High,Replacement,Block 24,Admin Staff,2021-03-29,2021-04-05,11,7
Monitor,Computers,Low,Repair,Block 45,Admin Staff,2023-08-17,2023-08-25,58,45
Socket,Electrical,High,Replacement,Block 17,Teacher,2022-12-31,2023-01-05,92,74
Door Handle,Doors,Medium,Repair,Block 38,Student,2020-08-26,2020-09-03,13,13
Window Glass,Windows,Medium,Replacement,Block 26,Student,2023-08-26,2023-09-06,55,38
Shower Head,Plumbing,Medium,Replacement,Block 9,Other Servers,2023-02-08,2023-02-18,40,22
CPU,Computers,Medium,Replacement,Block 50,Teacher,2021-12-20,2021-12-29,56,34
Toilet seat,Plumbing,High,Repair,Block 20,Other Servers,2020-07-03,2020-07-11,40,38
Door Handle,Doors,Medium,Repair,Block 23,Teacher,2023-09-18,2023-09-23,20,18
Door Cylinder,Doors,High,Replacement,Block 40,Admin Staff,2019-03-18,2019-03-24,28,20
Fuse,Electrical,Low,Replacement,Block 29,Admin Staff,2023-01-15,2023-01-25,83,69
Door Cylinder,Doors,Low,Replacement,Block 17,Teacher,2022-11-02,2022-11-15,13,12
Florescent Light bulb,Lighting,High,Replacement,Block 36,Teacher,2020-01-18,2020-01-21,58,41
Florescent Light bulb,Lighting,Medium,Replacement,Block 28,Admin Staff,2021-02-03,2021-02-08,67,54
Florescent Light bulb,Lighting,Low,Replacement,Block 36,Teacher,2019-11-27,2019-12-03,55,46
Toilet seat,Plumbing,Medium,Replacement,Block 31,Other Servers,2021-03-16,2021-03-27,34,22
Window Lock,Windows,Low,Repair,Block 50,Teacher,2020-10-12,2020-10-19,44,25
Chair,Furniture,High,Repair,Block 33,Admin Staff,2020-03-28,2020-04-01,60,43
Window Glass,Windows,High,Replacement,Block 12,Student,2023-09-15,2023-09-27,45,29
Florescent Light bulb,Lighting,Low,Replacement,Block 33,Admin Staff,2022-02-08,2022-02-14,72,60
Shower Head,Plumbing,Low,Repair,Block 22,Other Servers,2019-12-09,2019-12-19,34,33
Mouse,Computers,High,Replacement,Block 3,Teacher,2020-02-03,2020-02-07,55,53
Window Lock,Windows,Medium,Repair,Block 40,Admin Staff,2020-03-21,2020-03-26,43,33
Window Glass,Windows,High,Replacement,Block 28,Admin Staff,2021-09-25,2021-10-02,43,40
Fuse,Electrical,Low,Replacement,Block 6,Admin Staff,2019-11-01,2019-11-09,90,90
Door Cylinder,Doors,High,Repair,Block 8,Teacher,2021-06-01,2021-06-06,19,18
Door Cylinder,Doors,Medium,Replacement,Block 10,Teacher,2019-12-08,2019-12-17,23,16
Toilet seat,Plumbing,Low,Replacement,Block 30,Other Servers,2023-01-25,2023-02-08,33,19
Socket,Electrical,Medium,Repair,Block 27,Teacher,2021-11-08,2021-11-12,94,65
Bed Mattress,Furniture,Medium,Replacement,Block 11,Admin Staff,2022-09-13,2022-09-28,67,43
Door Handle,Doors,Medium,Replacement,Block 27,Admin Staff,2022-03-24,2022-03-31,15,9
Florescent Light bulb,Lighting,Low,Repair,Block 10,Student,2022-06-22,2022-07-02,65,52
Shower Head,Plumbing,High,Replacement,Block 14,Other Servers,2019-07-19,2019-07-29,32,25
Socket,Electrical,Low,Replacement,Block 42,Student,2023-03-09,2023-03-20,87,57
Florescent Light bulb,Lighting,Low,Repair,Block 11,Teacher,2022-06-20,2022-06-26,66,35
Door Cylinder,Doors,Low,Replacement,Block 25,Student,2023-06-14,2023-06-28,15,9
Valve,Plumbing,High,Repair,Block 15,Other Servers,2021-07-11,2021-07-20,26,24
Florescent Light bulb,Lighting,Medium,Repair,Block 16,Student,2019-10-30,2019-11-03,58,30
Florescent Light bulb,Lighting,High,Repair,Block 49,Teacher,2019-12-27,2019-12-28,73,48
Fuse,Electrical,Medium,Replacement,Block 28,Admin Staff,2021-10-07,2021-10-13,98,62
Bed Frame,Furniture,Low,Repair,Block 31,Teacher,2019-07-09,2019-07-19,71,60
Socket,Electrical,Low,Replacement,Block 44,Student,2022-06-27,2022-07-12,86,73
Valve,Plumbing,Low,Replacement,Block 41,Other Servers,2021-11-15,2021-12-02,29,20
Mouse,Computers,Medium,Repair,Block 39,Admin Staff,2021-01-20,2021-01-22,67,61
Florescent Light bulb,Lighting,Medium,Replacement,Block 48,Student,2019-10-18,2019-10-26,69,68
Door Cylinder,Doors,High,Replacement,Block 32,Student,2019-12-13,2019-12-24,24,14
Toilet seat,Plumbing,Low,Repair,Block 23,Other Servers,2019-02-24,2019-03-09,37,30
Fuse,Electrical,Medium,Repair,Block 46,Student,2021-03-31,2021-04-05,83,80
Window Lock,Windows,Low,Repair,Block 34,Admin Staff,2022-06-04,2022-06-12,53,45
Keyboard,Computers,Low,Repair,Block 20,Teacher,2019-06-21,2019-06-25,69,61
RAM,Computers,Low,Replacement,Block 28,Admin Staff,2019-10-29,2019-11-08,53,46
Locker Handle,Furniture,High,Repair,Block 8,Student,2020-07-08,2020-07-16,60,49
Bed Chipwood,Furniture,Medium,Replacement,Block 33,Student,2022-12-29,2023-01-12,63,45
Bed Frame,Furniture,High,Repair,Block 40,Admin Staff,2023-04-19,2023-04-24,63,63
Socket,Electrical,High,Repair,Block 10,Admin Staff,2022-10-12,2022-10-15,95,88
Door Cylinder,Doors,Medium,Replacement,Block 11,Student,2023-07-01,2023-07-11,28,18
Keyboard,Computers,Low,Replacement,Block 49,Admin Staff,2022-03-09,2022-03-18,58,32
Fuse,Electrical,High,Replacement,Block 19,Teacher,2022-03-31,2022-04-05,89,78
Mouse,Computers,High,Repair,Block 47,Admin Staff,2022-04-06,2022-04-06,54,48
Florescent Light bulb,Lighting,High,Repair,Block 1,Admin Staff,2023-08-16,2023-08-17,55,55
Bed Mattress,Furniture,Medium,Repair,Block 30,Admin Staff,2019-05-25,2019-06-06,57,46
Florescent Light bulb,Lighting,Low,Replacement,Block 34,Teacher,2020-04-25,2020-05-02,57,43
Chair,Furniture,Medium,Replacement,Block 40,Teacher,2019-05-11,2019-05-19,73,40
Door Handle,Doors,Medium,Repair,Block 20,Admin Staff,2020-06-09,2020-06-14,19,14
Valve,Plumbing,High,Repair,Block 38,Other Servers,2021-09-03,2021-09-12,41,30
Keyboard,Computers,High,Replacement,Block 29,Admin Staff,2023-07-02,2023-07-08,55,54
Window Glass,Windows,Medium,Replacement,Block 50,Student,2021-08-14,2021-08-29,45,45
Bed Mattress,Furniture,Medium,Replacement,Block 29,Student,2022-07-13,2022-07-31,57,56
Window Glass,Windows,High,Repair,Block 26,Student,2022-04-21,2022-04-29,54,37
Door Handle,Doors,Medium,Repair,Block 43,Admin Staff,2021-06-02,2021-06-07,25,24
Florescent Light bulb,Lighting,Medium,Replacement,Block 23,Student,2019-10-16,2019-10-24,70,42
Florescent Light bulb,Lighting,Low,Repair,Block 6,Student,2022-03-25,2022-03-31,57,40
Socket,Electrical,Low,Replacement,Block 43,Admin Staff,2020-08-10,2020-08-19,99,86
Toilet seat,Plumbing,High,Repair,Block 47,Other Servers,2020-12-30,2021-01-06,32,19
Chair,Furniture,Medium,Replacement,Block 17,Teacher,2021-02-25,2021-03-05,54,36
Shower Head,Plumbing,Low,Replacement,Block 2,Other Servers,2020-06-26,2020-07-11,35,34
Socket,Electrical,Medium,Repair,Block 36,Student,2023-03-01,2023-03-08,98,57
Window Lock,Windows,Low,Repair,Block 38,Student,2019-03-09,2019-03-19,51,51
Window Glass,Windows,Low,Replacement,Block 4,Student,2023-03-29,2023-04-17,54,41
Window Glass,Windows,Low,Repair,Block 14,Student,2021-02-16,2021-02-26,52,30
Door Handle,Doors,Medium,Repair,Block 5,Teacher,2020-03-08,2020-03-13,13,9
Hard drive,Computers,High,Replacement,Block 3,Admin Staff,2020-12-12,2020-12-19,60,51
Window Glass,Windows,Low,Repair,Block 42,Admin Staff,2022-06-30,2022-07-08,52,37
Valve,Plumbing,Low,Replacement,Block 37,Other Servers,2019-09-14,2019-10-01,40,39
Toilet seat,Plumbing,High,Repair,Block 28,Other Servers,2022-03-07,2022-03-14,43,42
Window Glass,Windows,Low,Replacement,Block 5,Admin Staff,2019-02-19,2019-03-05,42,28
Florescent Light bulb,Lighting,Medium,Repair,Block 26,Teacher,2021-06-30,2021-07-02,66,51
Pipe,Plumbing,Medium,Repair,Block 1,Other Servers,2021-11-19,2021-11-29,30,16
Fuse,Electrical,Medium,Repair,Block 32,Admin Staff,2022-02-23,2022-02-26,95,71
Window Lock,Windows,High,Replacement,Block 25,Teacher,2021-04-17,2021-04-23,46,36
Locker Cylinder,Furniture,High,Repair,Block 41,Teacher,2022-09-28,2022-10-04,68,65
Bed Frame,Furniture,Low,Repair,Block 33,Teacher,2021-06-11,2021-06-22,68,60
Valve,Plumbing,High,Repair,Block 40,Other Servers,2020-11-20,2020-11-30,27,15
Door Handle,Doors,High,Repair,Block 39,Admin Staff,2019-01-16,2019-01-19,25,22
Toilet seat,Plumbing,Low,Replacement,Block 14,Other Servers,2023-05-22,2023-06-08,35,19
Locker Cylinder,Furniture,High,Repair,Block 37,Student,2021-03-24,2021-04-03,64,62
Mouse,Computers,High,Replacement,Block 36,Teacher,2019-08-14,2019-08-17,56,47
Socket,Electrical,Medium,Repair,Block 29,Student,2020-12-25,2020-12-31,97,67
Locker Handle,Furniture,High,Repair,Block 13,Teacher,2022-05-19,2022-05-24,67,65
Door Handle,Doors,High,Repair,Block 47,Teacher,2019-09-04,2019-09-08,13,13
Florescent Light bulb,Lighting,Medium,Replacement,Block 33,Admin Staff,2022-07-20,2022-07-24,59,41
Locker Cylinder,Furniture,Low,Repair,Block 37,Teacher,2022-06-27,2022-07-08,65,36
Florescent Light bulb,Lighting,Medium,Repair,Block 15,Student,2022-11-30,2022-12-04,73,66
Valve,Plumbing,Medium,Replacement,Block 23,Other Servers,2022-01-30,2022-02-13,35,32
Fuse,Electrical,High,Repair,Block 18,Admin Staff,2021-02-16,2021-02-18,85,82
Bed Frame,Furniture,High,Repair,Block 11,Admin Staff,2020-08-14,2020-08-19,55,31
Shower Head,Plumbing,Medium,Repair,Block 37,Other Servers,2019-04-14,2019-04-22,26,25
Fuse,Electrical,Medium,Replacement,Block 13,Admin Staff,2019-03-23,2019-03-29,98,93
Chair,Furniture,Low,Repair,Block 49,Teacher,2019-11-03,2019-11-12,66,36
Shower Head,Plumbing,Low,Repair,Block 3,Other Servers,2021-10-22,2021-10-31,38,23
Socket,Electrical,Low,Repair,Block 30,Student,2019-09-08,2019-09-17,96,86
Fuse,Electrical,Medium,Replacement,Block 28,Student,2019-03-06,2019-03-16,90,75
Fuse,Electrical,Medium,Replacement,Block 1,Student,2021-05-25,2021-06-04,88,65
Locker Cylinder,Furniture,Medium,Repair,Block 41,Admin Staff,2022-08-17,2022-08-25,73,51
Valve,Plumbing,Low,Repair,Block 32,Other Servers,2022-09-10,2022-09-23,28,18
Door Cylinder,Doors,Low,Replacement,Block 43,Student,2023-09-16,2023-10-01,16,12
Florescent Light bulb,Lighting,High,Repair,Block 16,Admin Staff,2022-08-07,2022-08-07,63,62
Chair,Furniture,Medium,Repair,Block 7,Teacher,2023-12-18,2023-12-23,65,43
Florescent Light bulb,Lighting,Low,Replacement,Block 38,Student,2020-09-17,2020-09-25,59,53
Florescent Light bulb,Lighting,Low,Repair,Block 24,Student,2019-10-24,2019-11-03,59,42
Window Lock,Windows,Low,Replacement,Block 16,Student,2022-01-20,2022-01-30,39,22
Window Lock,Windows,Low,Replacement,Block 42,Admin Staff,2020-08-30,2020-09-09,40,37
Florescent Light bulb,Lighting,Medium,Repair,Block 7,Student,2020-07-18,2020-07-23,68,42
Window Lock,Windows,Medium,Repair,Block 41,Admin Staff,2019-07-31,2019-08-05,52,28
Window Lock,Windows,High,Repair,Block 12,Teacher,2021-05-27,2021-05-31,37,25
Bed Chipwood,Furniture,Medium,Repair,Block 14,Admin Staff,2022-02-06,2022-02-16,65,57
Florescent Light bulb,Lighting,High,Replacement,Block 13,Student,2022-04-19,2022-04-23,59,50
Florescent Light bulb,Lighting,High,Replacement,Block 40,Admin Staff,2022-07-22,2022-07-24,72,72
RAM,Computers,High,Repair,Block 45,Admin Staff,2019-01-16,2019-01-19,63,40
Keyboard,Computers,Medium,Replacement,Block 34,Admin Staff,2022-03-01,2022-03-07,63,40
CPU,Computers,Low,Repair,Block 5,Admin Staff,2019-03-28,2019-04-06,58,54
Bed Frame,Furniture,Low,Replacement,Block 4,Student,2019-05-21,2019-06-05,71,59
Door Cylinder,Doors,Low,Repair,Block 39,Teacher,2022-11-20,2022-11-27,13,13
Shower Head,Plumbing,Medium,Repair,Block 3,Other Servers,2021-02-22,2021-03-02,40,32
Florescent Light bulb,Lighting,Low,Replacement,Block 35,Admin Staff,2022-12-25,2023-01-02,62,52
CPU,Computers,Medium,Replacement,Block 13,Admin Staff,2019-01-29,2019-02-07,72,58
Fuse,Electrical,High,Replacement,Block 8,Student,2020-03-25,2020-04-01,95,54
Hard drive,Computers,High,Repair,Block 45,Teacher,2019-01-05,2019-01-08,72,61
Bed Frame,Furniture,Low,Repair,Block 25,Teacher,2021-01-11,2021-01-22,69,69
Door Handle,Doors,Low,Repair,Block 7,Student,2021-04-15,2021-04-26,20,17
Florescent Light bulb,Lighting,High,Replacement,Block 4,Teacher,2019-03-12,2019-03-16,73,43
Valve,Plumbing,Medium,Replacement,Block 22,Other Servers,2022-09-08,2022-09-23,27,27
Locker Cylinder,Furniture,Medium,Replacement,Block 39,Admin Staff,2019-09-23,2019-10-04,68,56
RAM,Computers,High,Replacement,Block 39,Admin Staff,2019-12-20,2019-12-26,54,48
Florescent Light bulb,Lighting,High,Replacement,Block 21,Teacher,2021-11-03,2021-11-06,68,39
Chair,Furniture,High,Repair,Block 7,Admin Staff,2021-06-30,2021-07-04,72,70
Window Lock,Windows,High,Replacement,Block 43,Teacher,2020-09-02,2020-09-08,55,49
Chair,Furniture,Medium,Repair,Block 10,Student,2022-08-31,2022-09-09,64,36
Florescent Light bulb,Lighting,Low,Repair,Block 40,Teacher,2019-01-09,2019-01-15,65,60
Window Lock,Windows,Low,Replacement,Block 33,Student,2023-04-16,2023-04-30,54,42
Window Glass,Windows,High,Replacement,Block 8,Admin Staff,2022-06-13,2022-06-21,37,25
Locker Cylinder,Furniture,High,Replacement,Block 38,Teacher,2021-02-06,2021-02-15,69,44
Monitor,Computers,Medium,Replacement,Block 15,Admin Staff,2019-08-05,2019-08-13,61,41
Valve,Plumbing,Low,Repair,Block 47,Other Servers,2021-09-13,2021-09-27,27,15
Fuse,Electrical,High,Repair,Block 19,Teacher,2023-11-09,2023-11-10,88,86
Chair,Furniture,Medium,Repair,Block 11,Student,2023-03-13,2023-03-20,63,48
Chair,Furniture,Low,Repair,Block 26,Student,2022-02-23,2022-03-06,71,68
Door Cylinder,Doors,High,Replacement,Block 44,Student,2023-07-25,2023-08-06,28,18
Florescent Light bulb,Lighting,High,Repair,Block 30,Teacher,2019-03-10,2019-03-11,56,33
Pipe,Plumbing,High,Replacement,Block 7,Other Servers,2020-07-28,2020-08-08,43,30
Door Handle,Doors,High,Repair,Block 48,Teacher,2021-08-23,2021-08-27,17,12
Florescent Light bulb,Lighting,Low,Repair,Block 50,Admin Staff,2021-01-25,2021-01-30,55,40
Door Handle,Doors,High,Repair,Block 11,Teacher,2019-02-02,2019-02-06,10,10
Valve,Plumbing,High,Replacement,Block 17,Other Servers,2021-06-05,2021-06-17,36,28
Pipe,Plumbing,Low,Repair,Block 22,Other Servers,2019-07-25,2019-08-07,27,27
Fuse,Electrical,High,Replacement,Block 46,Admin Staff,2019-12-17,2019-12-21,85,77
Florescent Light bulb,Lighting,Low,Replacement,Block 4,Teacher,2022-02-13,2022-02-21,59,43
Window Glass,Windows,Low,Replacement,Block 48,Admin Staff,2020-04-21,2020-05-05,45,39
Pipe,Plumbing,High,Repair,Block 44,Other Servers,2022-12-07,2022-12-16,35,22
Monitor,Computers,Medium,Repair,Block 27,Teacher,2023-02-16,2023-02-21,54,52
Window Lock,Windows,High,Replacement,Block 2,Teacher,2021-09-19,2021-09-26,37,33
RAM,Computers,High,Replacement,Block 35,Teacher,2021-02-22,2021-02-27,63,55
Socket,Electrical,Low,Repair,Block 9,Student,2022-08-03,2022-08-10,84,65
Toilet seat,Plumbing,Low,Repair,Block 34,Other Servers,2019-08-23,2019-09-03,26,16
Fuse,Electrical,Medium,Repair,Block 3,Teacher,2019-04-22,2019-04-25,93,65
Socket,Electrical,Low,Replacement,Block 19,Student,2021-06-11,2021-06-25,94,80
Pipe,Plumbing,Low,Repair,Block 36,Other Servers,2019-02-20,2019-03-03,36,36
Shower Head,Plumbing,High,Repair,Block 28,Other Servers,2020-05-12,2020-05-19,42,34
